"""time""","""serial""","number_of_people"
2019-08-01 00:00:00,"0000000006dd41f6",8
2019-08-01 00:00:00,"000000000f4919c9",0
2019-08-01 00:00:00,"0000000019fb59c4",3
2019-08-01 00:00:00,"00000000342570c2",9
2019-08-01 00:00:00,"0000000038bf9618",11
2019-08-01 00:00:00,"0000000038d83d41",12
2019-08-01 00:00:00,"000000004ef3150d",4
2019-08-01 00:00:00,"0000000053c6c2be",6
2019-08-01 00:00:00,"00000000675d5200",3
2019-08-01 00:00:00,"000000006b087f40",8
2019-08-01 00:00:00,"000000006b44cce7",36
2019-08-01 00:00:00,"0000000074f765a7",0
2019-08-01 00:00:00,"000000007b5207b6",4
2019-08-01 00:00:00,"0000000096918cfa",0
2019-08-01 00:00:00,"00000000a53ed894",4
2019-08-01 00:00:00,"00000000aa852af1",9
2019-08-01 00:00:00,"00000000afef4555",2
2019-08-01 00:00:00,"00000000b33a8357",0
2019-08-01 00:00:00,"00000000cd16b8ef",0
2019-08-01 00:00:00,"00000000d747f075",0
2019-08-01 00:00:00,"00000000e8a064a4",0
2019-08-01 00:00:00,"00000000f1124bca",0
2019-08-01 00:00:00,"00000000fb7600be",12
2019-08-01 00:00:00,"00000000fdda10fe",19
2019-08-01 00:00:00,"00000000fffb8cf0",1
2019-08-01 01:00:00,"0000000006dd41f6",8
2019-08-01 01:00:00,"000000000f4919c9",0
2019-08-01 01:00:00,"0000000019fb59c4",3
2019-08-01 01:00:00,"00000000342570c2",9
2019-08-01 01:00:00,"0000000038bf9618",11
2019-08-01 01:00:00,"0000000038d83d41",13
2019-08-01 01:00:00,"000000004ef3150d",4
2019-08-01 01:00:00,"0000000053c6c2be",6
2019-08-01 01:00:00,"00000000675d5200",2
2019-08-01 01:00:00,"000000006b087f40",6
2019-08-01 01:00:00,"000000006b44cce7",38
2019-08-01 01:00:00,"0000000074f765a7",0
2019-08-01 01:00:00,"000000007b5207b6",4
2019-08-01 01:00:00,"0000000096918cfa",0
2019-08-01 01:00:00,"00000000a53ed894",4
2019-08-01 01:00:00,"00000000aa852af1",7
2019-08-01 01:00:00,"00000000afef4555",3
2019-08-01 01:00:00,"00000000b33a8357",0
2019-08-01 01:00:00,"00000000cd16b8ef",0
2019-08-01 01:00:00,"00000000d747f075",0
2019-08-01 01:00:00,"00000000e8a064a4",0
2019-08-01 01:00:00,"00000000f1124bca",0
